Bessie Johnson,-858.21
Brian Thomas,-522
Morgan Cutter,-119.610
Trevor Scott,-279.787
Leroy Vesely,-14.702
David Gregory,-869
Esther Rosario,-841.681
Gordon Cunningham,-969
Chris Heath,-578.214
Elbert Vasquez,-294.513
Paul Sheston,-776.91
Patricia Moore,-812.975
Terisa Cardwell,-46.705
Johanna Gaines,-717.440
Kenneth Childers,-104
Vernon Boykin,-79.196
Ryan Robinett,-37
Leon Britton,-715
Aaron Buckley,-201.623
Carol Mauldin,-345.745
Mark Simpkins,-459
Janita Wilcox,-476
Sharon Staples,-332.626
Charles Miller,-207.328
Dorothy Hair,-322.79
Mildred Loeschner,-146.92
Andre Doughty,-958.359
Loma Elhard,-639
Alicia Obrien,-478.595
Angela Mallory,-70
Kenneth Queal,-681
